,TextLine
7,vw_last_visit
8,vw_LastVisit
9,vw_member_id_crosswalk
10,vw_member_visits_by_year
11,vw_patient_id_match
32,vw_awv_and_comp_by_month
33,vw_awv_and_comp_by_year
34,vw_demo_to_raf
35,vw_EligMembersByMonth
36,vw_member_visits_by_month
37,vw_MostCommonSuspects
45,xxxvw_M_VisitHCC2013TrumpList
46,xxxvw_M_VisitHCC2013Trumping
47,xxxvw_M_VisitHCC2014TrumpList
48,xxxvw_M_VisitHCC2014Trumping
49,xxxvw_M_VisitHCC2017TrumpList
50,xxxvw_M_VisitHCC2017Trumping
53,vw_patid_to_memberid
59,vw_member_current_conditions
60,vw_member_suspect_conditions_raw
71,vw_member_suspects_final
77,vw_hcc_supressed
82,vw_member_supressed_codes
97,vw_hcc_daily_eligble_ma_patients
101,vw_HccNorm
108,vw_HccTrumped
138,vw_member_raf_by_year
143,vw_hcc_norm
172,vw_RafByYear
178,vw_raf_by_year
194,vw_most_recent_mlr
200,vw_current_awv_comp_goal
203,vw_pcp_scorecard
204,vw_pcp_scorecard_current_members
213,vw_all_medicare_members
216,vw_awv_comp_by_provider
218,vw_mssp_members_current_elig
219,vw_mssp_members_current_elig_count
231,vw_capdata_elig
233,vw_pcn_attribution_history
246,vw_Edmonds_HCC_Suspects
257,vw_awv_and_comp_visits
